Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,10.83305996,51.42167049,411.0152913,-1.324032625
 01/01  02:00:00,2.8125,10.74996974,54.03616128,410.89626430000004,-1.328361782
 01/01  03:00:00,2.5125,10.62862968,54.94832539,410.8536784,-1.3427985269999998
 01/01  04:00:00,2.2125,10.50828396,54.8216451,410.8384542,-1.3609372709999998
 01/01  05:00:00,1.975,10.40298711,54.34746732,410.8330165,-1.379179947
 01/01  06:00:00,1.7125,10.29839599,53.68882382,410.8310758,-1.396264416
 01/01  07:00:00,1.6,10.22299973,52.93030959,410.8303835,-1.412914763
 01/01  08:00:00,1.6625,11.65657782,47.61538382,410.8301348,-1.312037068
 01/01  09:00:00,1.8875,12.07734715,45.95610522,410.8300389,-1.223941688
 01/01  10:00:00,2.1875,13.91721593,43.20317392,627.7149815,-1.075445791
 01/01  11:00:00,2.4875,14.10623755,44.63238531,752.4863624,-0.9747494090000001
 01/01  12:00:00,2.725,14.19993845,44.60788291,768.1308025000001,-0.970364668
 01/01  13:00:00,2.925,13.87178787,44.70756705,718.3413462999999,-0.989481602
 01/01  14:00:00,3.0625,14.02645998,43.55180881,701.1783937000001,-0.991606737
 01/01  15:00:00,3.1625,14.14252838,42.919201,710.3576002,-0.9747115279999999
 01/01  16:00:00,3.2,14.62945206,42.16439113,773.6260118,-0.931918261
 01/01  17:00:00,3.2,14.42224577,42.62755315,775.20754,-0.9263707109999999
 01/01  18:00:00,3.2,13.75739439,43.05064655,674.2730343999999,-0.9880894290000001
 01/01  19:00:00,3.1375,13.15863387,43.16779971,551.9421905,-1.061284956
 01/01  20:00:00,3.1,12.79805313,43.21892393,463.83090489999995,-2.078831567
 01/01  21:00:00,3.0375,12.71665346,43.25577039,427.18419850000004,-2.096604719
 01/01  22:00:00,3.0,12.68503206,43.50131163,415.8763033,-2.1018326590000003
 01/01  23:00:00,2.9375,12.65888812,43.8835369,412.3870855,-2.103947798
 01/01  24:00:00,2.9,11.108874,48.97699176,411.3798938,-2.220925836
 01/02  01:00:00,2.8375,10.69794689,50.6924841,411.01579680000003,-1.349333109
 01/02  02:00:00,2.7375,10.61730759,51.41011301,410.8964308,-1.36211094
 01/02  03:00:00,2.6375,10.54581194,52.32433835,410.8537503,-1.3722669140000001
 01/02  04:00:00,2.5375,10.48123439,53.29429879,410.8384901,-1.380655102
 01/02  05:00:00,2.375,10.404469699999998,54.37717376,410.8330344,-1.389585244
 01/02  06:00:00,2.2375,10.33062297,55.49183448,410.8310841,-1.39907611
 01/02  07:00:00,2.075,10.25742091,56.31722554,410.8303872,-1.407635184
