Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,12.23322009,46.88136342,410.8410279,-1.0423971220000001
 01/01  02:00:00,2.8125,12.09136821,49.45136406,410.8339244,-1.0591781
 01/01  03:00:00,2.5125,11.932099800000001,50.40213239,410.8313956,-1.081467889
 01/01  04:00:00,2.2125,11.78159325,50.37758327,410.830496,-1.105866523
 01/01  05:00:00,1.975,11.65019253,50.02240820000001,410.8301762,-1.1295214470000001
 01/01  06:00:00,1.7125,11.5218108,49.4893253,410.8300625,-1.151543248
 01/01  07:00:00,1.6,11.42418231,48.85947503,410.83002220000003,-1.172777207
 01/01  08:00:00,1.6625,16.25058003,35.51566078,410.83000610000005,-1.801554967
 01/01  09:00:00,1.8875,17.68141134,32.00411172,410.83000089999996,-1.502186176
 01/01  10:00:00,2.1875,17.98236694,34.3282021,575.4045202000001,-1.4523866
 01/01  11:00:00,2.4875,18.00097104,35.69610227,621.6688547,-1.4272544440000001
 01/01  12:00:00,2.725,18.00113967,35.81819206,620.5124106000001,-1.4211230990000001
 01/01  13:00:00,2.925,18.00110519,34.95873063,580.3104852999999,-1.4205549659999999
 01/01  14:00:00,3.0625,18.00101895,34.42620074,575.54498,-1.420281734
 01/01  15:00:00,3.1625,18.00103288,34.17364018,583.4742502,-1.418312785
 01/01  16:00:00,3.2,18.00116638,34.69354265,628.8865055,-1.412890714
 01/01  17:00:00,3.2,18.00125452,34.44932103,620.4219482999999,-1.409932575
 01/01  18:00:00,3.2,18.00094623,33.17071605,547.4692091000001,-1.413865233
 01/01  19:00:00,3.1375,18.00052025,31.84623586,473.889916,-1.419853473
 01/01  20:00:00,3.1,18.00018014,31.01418091,428.73539589999996,-1.42404866
 01/01  21:00:00,3.0375,18.00001737,30.82286146,414.1949795,-1.42457634
 01/01  22:00:00,3.0,17.99995452,30.93124898,411.462283,-0.45845803399999996
 01/01  23:00:00,2.9375,17.99994721,31.15361913,410.94879530000003,-0.45596785799999995
 01/01  24:00:00,2.9,13.56147021,41.88247564,410.8638995,-0.761496065
 01/02  01:00:00,2.8375,12.16516039,46.00409747,410.8410271,-1.05436484
 01/02  02:00:00,2.7375,12.02546489,46.83156728,410.83392230000004,-1.079697471
 01/02  03:00:00,2.6375,11.91415908,47.78660368,410.8313953,-1.097980068
 01/02  04:00:00,2.5375,11.81718308,48.77428792,410.8304963,-1.112981826
 01/02  05:00:00,2.375,11.7126258,49.85417965,410.8301765,-1.127623682
 01/02  06:00:00,2.2375,11.61376438,50.95774244,410.8300628,-1.142264409
 01/02  07:00:00,2.075,11.51700186,51.7928616,410.8300223,-1.155660447
 01/02  08:00:00,2.0,16.21220226,38.37457982,410.83000610000005,-1.792925139
 01/02  09:00:00,2.25,17.61885016,34.74136696,410.83000089999996,-1.5010662000000001
 01/02  10:00:00,2.775,17.97946764,36.63787824,575.3650243,-1.445529677
 01/02  11:00:00,3.3125,18.001254,37.27474127,621.7110229,-1.4199937409999999
 01/02  12:00:00,3.875,18.00157821,36.01262033,620.6787112000001,-1.417764923
 01/02  13:00:00,4.6,18.00158447,33.66989204,580.6380968999999,-1.419204816
 01/02  14:00:00,5.4625,18.00147011,31.84928156,576.0522612000001,-1.420416973
 01/02  15:00:00,6.4875,18.00134225,30.8833679,584.2781635,-1.41885471
 01/02  16:00:00,7.4625,18.001329600000002,31.52182822,630.1690602000001,-1.410854628
 01/02  17:00:00,7.675,18.0014455,31.72123102,622.033274,-1.404275194
 01/02  18:00:00,7.2875,18.00105957,30.77422328,548.7495733,-1.408459954
 01/02  19:00:00,6.6625,18.00055949,29.71154449,474.58613449999996,-1.418975537
 01/02  20:00:00,5.9625,18.00016906,29.02159221,429.0058369,-1.422714865
 01/02  21:00:00,5.3875,17.99992308,29.08664786,414.2700381,-1.421392301
 01/02  22:00:00,5.0125,17.99989969,29.47351872,411.48017910000004,-0.45283328100000003
 01/02  23:00:00,4.8375,17.99987587,29.86771087,410.9527814,-0.44845580700000004
 01/02  24:00:00,4.8,14.05464379,39.15426025,410.8651591,-0.7159940770000001
 01/03  01:00:00,4.8,12.80442707,42.89518824,410.8415185,-0.9750899209999999
 01/03  02:00:00,4.675,12.68882204,43.66759131,410.8341175,-0.99357901
 01/03  03:00:00,4.35,12.54846138,44.36476962,410.8314712,-1.012087382
 01/03  04:00:00,3.7625,12.34744368,45.11134665,410.8305251,-1.036632663
 01/03  05:00:00,2.9375,12.08399358,45.59004503,410.83018710000005,-1.0701450540000002
