日期/时间,环境:场地室外空气干球温度[C](小时),热区:空间102:区平均气温[C](小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[KWh](小时),VRF热泵:VRF热泵冷却电能[kwh](小时),VRF热泵:VRF热泵加热电能[kwh](小时)
 04/14  04:00:00,15.1625,19.3514229,56.20891929,413.362009,-1.031075511,27.45075657,0,0,0
 04/14  05:00:00,14.4625,19.11761038,55.31818995,413.3352115,-1.086420069,29.90018431,0,0,0
 04/14  06:00:00,13.825,18.89588991,55.34209512,413.3255005,-1.136531492,32.2088607,0,0,0
 04/14  07:00:00,13.475,18.74220472,55.94742196,413.3219871,-1.174505187,34.01184524,0,0,0
 04/14  08:00:00,13.525,20.17919606,52.07792699,413.3207754,-2.053757667,78.86369725,0.09590466,0,0
 04/14  09:00:00,13.9125,20.81036942,51.62629211,413.3203068,-1.881941547,71.16122438,0.09590466,0,0
 04/14  10:00:00,14.475,22.45902274,51.84435809,605.3202192,-1.659024478,59.46199742,0.09590466,0,0
 04/14  11:00:00,15.075,22.84825346,54.49699032,729.3345729,-1.482896817,49.97205485,0.09590466,0,0
 04/14  12:00:00,15.8,23.06249686,55.02624457,758.3547123,-1.445614727,47.95797585,0.09590466,0,0
 04/14  13:00:00,16.6625,23.07469411,54.6651498,724.9484612,-1.426827126,46.94694467,0.09590466,0,0
 04/14  14:00:00,17.75,23.44227857,53.70889478,709.2583561,-1.385573229,44.74881161,0.09590466,0,0
 04/14  15:00:00,19.1375,23.86625162,54.01579609,715.4305705,-1.304368895,40.49999588,0.09590466,0.13380491,0
 04/14  16:00:00,20.7,23.99978374,57.47280293,770.0337924,-1.240849291,37.26897723,0.09590466,3.41599326,0
 04/14  17:00:00,21.8,24.000793,61.37905507,779.7389612,-1.207009099,35.59152906,0.09590466,3.979582205,0
 04/14  18:00:00,21.7875,24.00081441,62.91873673,697.1607807,-1.189355131,34.72889996,0.09590466,2.096387899,0
 04/14  19:00:00,20.9125,23.944296,61.98648285,584.4483827,-1.196306481,35.06788026,0.09590466,0.044956877,0
 04/14  20:00:00,19.5625,23.51439398,61.06930341,495.0242209,-1.260877642,38.28451197,0.09590466,0,0
 04/14  21:00:00,18.125,23.04775604,59.80830561,447.7612883,-1.355575773,43.1653536,0.09590466,0,0
 04/14  22:00:00,16.9125,22.62745539,58.46377518,427.8015508,-0.41686584,8.633210902,0.09590466,0,0
 04/14  23:00:00,16.0625,22.28924958,57.26158157,419.3980433,-0.489491111,10.01234798,0.09590466,0,0
 04/14  24:00:00,15.4875,20.18402446,63.4263854,415.8507199,-0.738098921,16.95910124,0,0,0
 04/15  01:00:00,14.9875,19.36412566,65.43994478,414.1706316,-0.97653533,25.14696925,0,0,0
 04/15  02:00:00,14.425,19.15212883,65.2401578,413.6279381,-1.025996856,27.23043635,0,0,0
 04/15  03:00:00,13.7,18.91307458,64.70221301,413.4313001,-1.078461507,29.54187417,0,0,0
 04/15  04:00:00,12.7125,18.61066656,63.87620092,413.3601394,-1.142544362,32.49573463,0,0,0
 04/15  05:00:00,11.6125,18.26984195,62.52095564,413.3344352,-1.219964629,36.23577272,0,0,0
 04/15  06:00:00,10.7,17.9660434,60.86031562,413.325178,-1.296800016,40.10816972,0,0,0
 04/15  07:00:00,10.15,17.74914463,59.24893261,413.3218544,-1.359455656,43.36568791,0,0,0
 04/15  08:00:00,10.5,19.13176833,53.51085137,413.3207183,-2.258440657,86.63859939,0.09590466,0,0
 04/15  09:00:00,11.8625,19.87229018,52.26546092,413.3202827,-2.077967365,80.14030869,0.09590466,0,0
 04/15  10:00:00,13.5625,21.88122003,51.63918119,604.5789415,-1.803735697,66.95052621,0.09590466,0,0
 04/15  11:00:00,15.2625,22.69862035,53.49731287,733.0287665,-1.54997,53.62001946,0.09590466,0,0
 04/15  12:00:00,16.9625,23.21104042,53.02468857,760.397346,-1.461945848,48.84163884,0.09590466,0,0
 04/15  13:00:00,18.725,23.49935684,51.17203337,726.5900817,-1.399186858,45.4690545,0.09590466,0,0
 04/15  14:00:00,20.525,23.95493224,48.56151533,710.913845,-1.33418885,42.04379336,0.09590466,0.908932405,0
 04/15  15:00:00,22.5125,24.00163983,47.75188439,717.5366551,-1.305757875,40.56512997,0.09590466,4.119251987,0
 04/15  16:00:00,24.2375,24.00186633,48.67831616,772.8353007,-1.291147599,39.81428748,0.09590466,7.871743021,0
 04/15  17:00:00,24.6125,24.00194513,48.5397542,782.7235338,-1.276517234,39.06677747,0.09590466,7.845669663,0
 04/15  18:00:00,24.0625,24.00202528,46.28614537,699.5688759,-1.28766669,39.6361349,0.09590466,5.357382332,0
 04/15  19:00:00,23.2375,24.00128513,43.63105702,586.2122904,-1.306238621,40.58998908,0.09590466,3.010563817,0
 04/15  20:00:00,22.4,24.00039965,42.21392896,496.2056722,-1.316726431,41.13195279,0.09590466,1.331416735,0
 04/15  21:00:00,21.85,23.99977088,42.69413016,448.4981522,-1.312655074,40.92134682,0.09590466,0.715445702,0
 04/15  22:00:00,21.7,23.99932847,44.97970963,428.2458362,-0.271612943,6.53291327,0.09590466,0.699681958,0
 04/15  23:00:00,21.325,23.99932823,47.8506486,419.651795,-0.246992,6.267029327,0.09590466,0.352875542,0
 04/15  24:00:00,20.475,22.09521285,56.10162747,415.9835896,-0.415951983,8.954645811,0,0,0
 04/16  01:00:00,19.35,20.92384431,61.64852775,414.2259219,-0.664248378,14.28832483,0,0,0
 04/16  02:00:00,18.275,20.50117729,62.87727032,413.6510403,-0.745537227,16.71108762,0,0,0
 04/16  03:00:00,17.65,20.25082623,62.88565784,413.4407245,-0.803003454,18.5983907,0,0,0
 04/16  04:00:00,17.3125,20.10877731,62.79018914,413.3639923,-0.837562651,19.80193854,0,0,0
 04/16  05:00:00,16.7625,19.93191257,61.96202463,413.3360135,-0.874131348,21.13405515,0,0,0
 04/16  06:00:00,16.125,19.71348744,59.79275676,413.3258184,-0.929884984,23.26774834,0,0,0
 04/16  07:00:00,15.8375,19.57772889,56.73483292,413.3221115,-0.981657105,25.35585125,0,0,0
 04/16  08:00:00,16.3,21.30663846,48.73565451,413.3208334,-1.85389297,69.55023368,0.09590466,0,0
 04/16  09:00:00,17.35,22.43193749,44.17990717,413.3203232,-1.615344312,57.17744647,0.09590466,0,0
 04/16  10:00:00,18.4875,23.82469547,43.93842451,609.0073287,-1.407487962,45.96636666,0.09590466,1.028464009,0
 04/16  11:00:00,19.4625,24.00124093,45.25199456,729.5080806,-1.300705193,40.30484437,0.09590466,1.592923748,0
 04/16  12:00:00,20.175,24.00205167,44.48008256,760.2938017,-1.291948967,39.85501706,0.09590466,2.902708005,0
 04/16  13:00:00,20.65,24.00197022,42.10948237,727.5092178,-1.299463124,40.24097638,0.09590466,2.315273484,0
 04/16  14:00:00,20.925,24.00188877,40.46710861,711.7220739,-1.304659884,40.50837104,0.09590466,3.435417804,0
