Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 10/02  21:00:00,19.0625,23.39583989,61.3949624,419.4560601,-1.4265743309999999
 10/02  22:00:00,18.4875,23.17282445,62.62830706,411.46479960000005,-1.464321805
 10/02  23:00:00,18.1125,23.01597792,63.54418684,409.31763650000005,-1.492198371
 10/02  24:00:00,17.875,21.21253704,71.3563625,408.79785560000005,-1.6986056219999999
 10/03  01:00:00,17.675,20.48233409,75.07357777,408.6205695,-0.877483665
 10/03  02:00:00,17.5375,20.38150233,75.73591113,408.5629959,-0.905664092
 10/03  03:00:00,17.4375,20.312268,76.50810104,408.54202050000004,-0.923128666
 10/03  04:00:00,17.275,20.23410296,77.65575243,408.5343786,-0.937773415
 10/03  05:00:00,17.075,20.14014598,79.02725685,408.53159439999996,-0.9562270009999999
 10/03  06:00:00,16.8125,20.03477433,80.2782998,408.53058030000005,-0.974061202
 10/03  07:00:00,16.6375,19.94428278,80.84210845,408.53021110000003,-0.9965112840000001
 10/03  08:00:00,16.5375,21.48366005,73.37242762,408.53007030000003,-0.8311393229999999
 10/03  09:00:00,16.8125,22.14066468,69.73137740000001,408.5300175,-0.6532488120000001
 10/03  10:00:00,17.4375,23.56338851,67.22228554,617.3538101,-0.45129919399999996
 10/03  11:00:00,18.1375,23.80817863,66.93246798,723.5025949,-0.31950489600000004
 10/03  12:00:00,18.9,24.09364491,63.34735744,732.1024382999999,-0.287707913
 10/03  13:00:00,19.7625,24.14202982,58.93547332,680.4887592,-0.28597359699999997
 10/03  14:00:00,20.725,24.53059328,54.65757838,668.2175885,-0.25873155800000003
 10/03  15:00:00,21.9125,24.95384676,52.46259197,678.2983751,-0.189926768
 10/03  16:00:00,23.275,25.6824174,52.9743024,739.6069136,-0.047291648
 10/03  17:00:00,24.2375,25.86182299,56.31439031,738.3558991,0.038128004
 10/03  18:00:00,24.1875,25.57206017,59.85529467,638.3197818,0.035558648
 10/03  19:00:00,23.125,25.07789008,62.553624600000006,525.4822723,-0.021235632
 10/03  20:00:00,21.6,24.49700979,64.48632899,449.53830999999997,-1.147850716
 10/03  21:00:00,20.0,23.97399417,65.65699039,419.57554910000005,-1.239011499
 10/03  22:00:00,18.65,23.48918304,66.06908823,411.4963063,-1.329055484
