日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时),,,
 01/03  02:00:00,4.675,13.95988938,40.1901092,410.9038831,-0.737779626,16.46022329,0,0,0,,,
 01/03  03:00:00,4.35,13.78593751,40.91912259,410.8562802,-0.763275879,17.27390675,0,0,0,,,
 01/03  04:00:00,3.7625,13.55823584,41.67489333,410.8393384,-0.793504511,18.27520494,0,0,0,,,
 01/03  05:00:00,2.9375,13.27269222,42.1698825,410.8333123,-0.831824939,19.59986083,0,0,0,,,
 01/03  06:00:00,2.1,12.98017922,42.37228146,410.8311723,-0.873559449,21.11139656,0,0,0,,,
 01/03  07:00:00,1.3625,12.71289992,42.3412317,410.8304141,-0.913377431,22.62019804,0,0,0,,,
 01/03  08:00:00,0.975,18.53110701,28.94838521,410.8301454,-1.485613083,50.2372145,0.038361864,0,3.102034779,,,
 01/03  09:00:00,1.525,20.15604846,25.90433822,410.8300412,-1.141966282,32.46372602,0.038361864,0,3.091080872,,,
 01/03  10:00:00,2.9,21.41610449,28.40056287,607.0176117,-1.019551089,27.02199213,0.038361864,0,3.045249906,,,
 01/03  11:00:00,4.5625,21.7791413,31.16675372,707.7768488,-0.922997055,22.99502158,0.038361864,0,3.012234913,,,
 01/03  12:00:00,6.2625,21.99940105,32.0206214,722.6262768,-0.874810836,21.15637643,0.038361864,0,2.621910306,,,
 01/03  13:00:00,7.9,22.00079018,31.4166578,680.535347,-0.862627543,20.70583558,0.038361864,0,2.415388947,,,
 01/03  14:00:00,9.375,22.00086835,30.72144756,667.1638058,-0.846590762,20.1241262,0.038361864,0,2.007839999,,,
 01/03  15:00:00,10.7125,22.00097552,30.13384315,675.4909491,-0.837117699,19.78472475,0.038361864,0,1.705725267,,,
 01/03  16:00:00,11.6375,22.00115031,30.65016198,732.0195656,-0.837276377,19.79068749,0.038361864,0,1.382295647,,,
 01/03  17:00:00,11.7125,22.00126157,30.18438338,734.3063912,-0.825247755,19.36543148,0.038361864,0,1.447241174,,,
 01/03  18:00:00,11.1,22.00097315,28.07410582,645.9495463,-0.840686079,19.9125634,0.038361864,0,1.809659306,,,
 01/03  19:00:00,10.175,22.00054776,25.73900387,538.7629633,-0.85731927,20.51217242,0.038361864,0,2.13270583,,,
 01/03  20:00:00,9.05,22.00021046,24.17015518,461.904187,-0.865809956,20.82261258,0.038361864,0,2.389181626,,,
 01/03  21:00:00,7.9125,22.00004113,23.63736545,427.6075597,-0.866495125,20.8477809,0.038361864,0,2.572972701,,,
 01/03  22:00:00,7,21.99996973,23.70675252,416.3247092,0.097731683,5.197854131,0.038361864,0,2.712599682,,,
 01/03  23:00:00,6.2625,21.99995623,24.02703429,412.6252254,0.103532274,5.222045761,0.038361864,0,2.826691904,,,
 01/03  24:00:00,5.6875,16.49776459,34.73148041,411.5018279,-0.249768285,7.667768519,0,0,0,,,
 01/04  01:00:00,5.25,14.59130627,40.052871,411.0472868,-0.61499439,12.93735754,0,0,0,,,
 01/04  02:00:00,4.9125,14.37094402,41.70829951,410.9072879,-0.648584214,13.83465681,0,0,0,,,
 01/04  03:00:00,4.55,14.18382307,43.41766728,410.8574766,-0.67336176,14.52942886,0,0,0,,,
 01/04  04:00:00,4.15,13.99649872,45.12751499,410.8397605,-0.69754053,15.23306835,0,0,0,,,
 01/04  05:00:00,3.6875,13.80291028,46.54622596,410.8334639,-0.722191878,15.97671974,0,0,0,,,
 01/04  06:00:00,3.25,13.6133409,47.501701,410.831228,-0.748849871,16.81014559,0,0,0,,,
 01/04  07:00:00,2.9125,13.44767763,47.89950528,410.8304349,-0.775092585,17.66018374,0,0,0,,,
 01/04  08:00:00,2.7375,18.97615901,33.62487898,410.8301533,-1.36498514,44.13624162,0.038361864,0,2.987946377,,,
 01/04  09:00:00,3.075,20.54600575,29.95671238,410.8300437,-1.039600671,27.81837225,0.038361864,0,2.997387283,,,
 01/04  10:00:00,4.1125,21.78252415,31.46482638,607.2118091,-0.923283831,23.07493077,0.038361864,0,2.961019776,,,
