日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 12/20  08:00:00,7.2,17.7657598,45.32457239,411.7600051,-1.583756807,55.29929824,5.415881507,0,21.27972165
 12/20  09:00:00,7.45,18.00002221,44.23291166,411.7600008,-1.439731562,47.6400331,5.415881507,0,16.96211884
 12/20  10:00:00,7.85,17.78118355,47.83851918,571.3220228,-1.435686559,47.4229581,5.415881507,0,5.365405155
 12/20  11:00:00,8.1875,17.99667696,48.46324342,620.564752,-1.411561254,46.1300464,5.415881507,0,8.40901263
 12/20  12:00:00,8.425,17.83460086,48.81175147,616.9598889,-1.409814695,46.03576923,5.415881507,0,6.118503588
 12/20  13:00:00,8.6875,17.97322991,47.34659905,576.8401113,-1.41012059,46.05251848,5.415881507,0,9.497063417
 12/20  14:00:00,9.05,17.89855354,47.26847534,572.2814668,-1.406846193,45.87727586,5.415881507,0,7.126974965
 12/20  15:00:00,9.6375,17.78740179,48.23952275,580.4845881,-1.415831829,46.35747474,5.415881507,0,4.398874618
 12/20  16:00:00,10.4625,17.58213768,51.72395669,625.8140767,-1.4204822,46.60681283,5.415881507,0,0
 12/20  17:00:00,11.1125,17.4782003,54.73388097,617.178016,-1.416840932,46.41154901,5.415881507,0,0
 12/20  18:00:00,10.9875,17.76231934,54.18534055,547.1427085,-1.39482719,45.23724302,5.415881507,0,5.235448518
 12/20  19:00:00,10.175,17.9993459,51.9475298,472.1599492,-1.375699888,44.22178625,5.415881507,0,10.9469533
 12/20  20:00:00,9.05,18.00088659,49.80056669,428.2831317,-1.378771692,44.38388423,5.415881507,0,13.16479054
 12/20  21:00:00,8.1625,18.00061228,47.87229444,414.7414895,-1.387518225,44.84774816,5.415881507,0,14.39816067
 12/20  22:00:00,7.8375,18.00013131,47.05400108,412.297173,-0.424512747,8.757576571,5.415881507,0,14.80026348
 12/20  23:00:00,7.55,18.00001686,47.03926375,411.8567326,-0.423886896,8.746433517,5.415881507,0,15.17509589
 12/20  24:00:00,7.025,14.88156292,57.15631412,411.7870404,-0.645682541,14.28871177,0,0,0
 12/21  01:00:00,6.3,13.72643428,60.11661628,411.7689156,-0.877557279,21.26153581,0,0,0
 12/21  02:00:00,5.625,13.47113473,59.20534515,411.7631901,-0.921454768,22.93408056,0,0,0
 12/21  03:00:00,5.2125,13.29408472,58.17228311,411.7611401,-0.955298019,24.27705018,0,0,0
 12/21  04:00:00,4.975,13.16953939,57.33732163,411.7604072,-0.980840037,25.32063739,0,0,0
 12/21  05:00:00,4.7125,13.05147638,56.83303686,411.7601454,-1.002138839,26.21047654,0,0,0
 12/21  06:00:00,4.2875,12.89768802,56.20916153,411.7600519,-1.02635135,27.24350345,0,0,0
 12/21  07:00:00,3.975,12.75892232,55.14913753,411.7600185,-1.054120202,28.45378731,0,0,0
 12/21  08:00:00,3.9,17.33605644,40.52399848,411.7600049,-1.684658852,60.50006254,5.415881507,0,30.54018282
 12/21  09:00:00,4.15,17.9998855,38.73978146,411.7600007,-1.470302325,49.28987281,5.415881507,0,27.25309439
 12/21  10:00:00,4.55,18.00025093,42.34870827,573.8161652,-1.447879932,48.07927248,5.415881507,0,15.51141061
 12/21  11:00:00,4.8875,18.00099508,44.52811702,616.955365,-1.428489719,47.03587551,5.415881507,0,17.35515124
 12/21  12:00:00,5.125,18.00113894,45.47553832,615.1868015,-1.419803335,46.57005139,5.415881507,0,12.8482559
 12/21  13:00:00,5.2625,18.00118435,45.27597836,575.4551191,-1.417045885,46.42235792,5.415881507,0,14.76931138
 12/21  14:00:00,5.425,18.00102286,45.34397502,571.3224613,-1.415667599,46.34859207,5.415881507,0,13.52856309
