Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,13.43751936,43.33028149,411.02998439999993,-0.800578802
 01/01  02:00:00,2.8125,13.2585394,45.81349707,410.9008619,-0.825102718
 01/01  03:00:00,2.5125,13.07167523,46.77037742,410.8550953,-0.8531422359999999
 01/01  04:00:00,2.2125,12.89765964,46.81210728,410.83888199999996,-0.8824402920000001
 01/01  05:00:00,1.975,12.74501291,46.54164348,410.83314210000003,-0.910504902
 01/01  06:00:00,1.7125,12.5967219,46.10144531,410.8311111,-0.9366518620000001
 01/01  07:00:00,1.6,12.48017942,45.56866639,410.8303928,-0.96178093
 01/01  08:00:00,1.6625,18.32259611,31.25744146,410.8301383,-1.5242758019999998
 01/01  09:00:00,1.8875,19.92410376,27.83851512,410.8300393,-1.17993143
 01/01  10:00:00,2.1875,21.0110242,29.69566271,607.0658605000001,-1.075007314
 01/01  11:00:00,2.4875,21.06710362,31.89940199,707.4215303999999,-1.011264669
 01/01  12:00:00,2.725,21.21118561,32.03409219,721.4068374,-0.992599179
 01/01  13:00:00,2.925,21.1064946,31.3482244,678.3379528,-0.9932166590000001
 01/01  14:00:00,3.0625,21.29451021,30.44877895,664.1751472999999,-0.982812259
 01/01  15:00:00,3.1625,21.40746132,30.13362216,671.5194184999999,-0.9663247559999999
 01/01  16:00:00,3.2,21.71154963,30.50274722,726.6264201,-0.935894041
 01/01  17:00:00,3.2,21.61111823,30.66141412,727.7296506,-0.926974414
 01/01  18:00:00,3.2,21.28590946,29.5017582,640.0914981000001,-0.954523254
 01/01  19:00:00,3.1375,21.02115477,27.86439879,534.8790256,-0.991329127
 01/01  20:00:00,3.1,20.87234151,26.63171893,459.8692738,-1.017228814
 01/01  21:00:00,3.0375,20.83609056,26.106845,426.73255199999994,-1.0266121559999999
 01/01  22:00:00,3.0,20.81396615,26.05243427,415.986822,-0.06513142200000001
 01/01  23:00:00,2.9375,20.79100742,26.20129601,412.50223789999995,-0.064984646
 01/01  24:00:00,2.9,15.15859587,37.88176347,411.452361,-0.44483260399999996
 01/02  01:00:00,2.8375,13.35860291,42.54443010000001,411.030143,-0.814829061
 01/02  02:00:00,2.7375,13.18305231,43.40731561,410.9008878,-0.847655315
 01/02  03:00:00,2.6375,13.04396707,44.3703675,410.8551125,-0.871639451
 01/02  04:00:00,2.5375,12.92293992,45.35638993,410.8388972,-0.8915649440000001
 01/02  05:00:00,2.375,12.79684537,46.4234352,410.8331521,-0.9106405259999999
 01/02  06:00:00,2.2375,12.678168199999998,47.51012993,410.83111660000003,-0.9293632
 01/02  07:00:00,2.075,12.56245012,48.34554207,410.8303955,-0.9466576459999999
 01/02  08:00:00,2.0,18.20224019,33.9207325,410.8301394,-1.522956635
 01/02  09:00:00,2.25,19.79101879,30.34139114,410.8300397,-1.1868461670000001
 01/02  10:00:00,2.775,20.982875,31.65656453,607.1270772999999,-1.073845179
 01/02  11:00:00,3.3125,21.2051398,33.01711111,707.6705910000001,-0.9968613190000001
 01/02  12:00:00,3.875,21.56564532,31.76534419,721.7650177999999,-0.963740281
 01/02  13:00:00,4.6,21.74611713,29.51441584,678.8245877,-0.941183599
 01/02  14:00:00,5.4625,21.99574806,27.66121543,664.8907842,-0.9183014890000001
 01/02  15:00:00,6.4875,22.00073126,27.01195079,672.8117066000001,-0.908965247
 01/02  16:00:00,7.4625,22.00078522,27.95711974,728.9627987000001,-0.8943520490000001
 01/02  17:00:00,7.675,22.00086169,28.1945103,730.9450997,-0.883032901
 01/02  18:00:00,7.2875,22.00067534,26.68199363,642.9338278,-0.8878282359999999
 01/02  19:00:00,6.6625,22.00039141,24.77309514,536.6690465,-0.9023465890000001
 01/02  20:00:00,5.9625,22.00015915,23.37776743,460.74745870000004,-0.909059663
 01/02  21:00:00,5.3875,22.00001683,22.95530715,427.08921460000005,-0.908732861
 01/02  22:00:00,5.0125,21.86894984,23.2497887,416.1194981,0.050567037999999995
 01/02  23:00:00,4.8375,21.67203013,23.7703609,412.55066469999997,0.035519747000000004
 01/02  24:00:00,4.8,15.96742754,34.73674344,411.4725314,-0.33807589600000004
 01/03  01:00:00,4.8,14.12206295,39.3570597,411.0376477,-0.709503633
 01/03  02:00:00,4.675,13.95988938,40.1901092,410.90388310000003,-0.7377796259999999
 01/03  03:00:00,4.35,13.78593751,40.91912259,410.85628019999996,-0.763275879
 01/03  04:00:00,3.7625,13.55823584,41.67489333,410.8393384,-0.793504511
 01/03  05:00:00,2.9375,13.27269222,42.1698825,410.8333123,-0.8318249390000001
 01/03  06:00:00,2.1,12.98017922,42.37228146,410.83117230000005,-0.873559449
 01/03  07:00:00,1.3625,12.71289992,42.3412317,410.83041410000004,-0.9133774309999999
 01/03  08:00:00,0.975,18.53110701,28.94838521,410.8301454,-1.485613083
 01/03  09:00:00,1.525,20.15604846,25.90433822,410.8300412,-1.141966282
