日期-时间,环境:工地室外空气干球温度[C](小时),热区:第102空间:区平均气温[C](每小时),热区:空间102:区域空气相对湿度[%](小时),热区:空间102:区空气CO2浓度[ppm](小时),人:区域热舒适Fanger模型PMV[](小时),人群:区域热舒适Fanger模型PPD[%](小时),DOAS供电风机:风机电能[Kwh](小时),VRF热泵：VRF热泵冷却电能[Kwh](小时),VRF热泵：VRF热泵加热电能[Kwh](小时)
 01/01  01:00:00,2.9625,12.23322009,46.88136342,410.8410279,-1.042397122,27.93923946,0,0,0
 01/01  02:00:00,2.8125,12.09136821,49.45136406,410.8339244,-1.0591781,28.67717781,0,0,0
 01/01  03:00:00,2.5125,11.9320998,50.40213239,410.8313956,-1.081467889,29.67338994,0,0,0
 01/01  04:00:00,2.2125,11.78159325,50.37758327,410.830496,-1.105866523,30.78348245,0,0,0
 01/01  05:00:00,1.975,11.65019253,50.0224082,410.8301762,-1.129521447,31.8786999,0,0,0
 01/01  06:00:00,1.7125,11.5218108,49.4893253,410.8300625,-1.151543248,32.91500441,0,0,0
 01/01  07:00:00,1.6,11.42418231,48.85947503,410.8300222,-1.172777207,33.92826215,0,0,0
 01/01  08:00:00,1.6625,16.25058003,35.51566078,410.8300061,-1.801554967,66.38627733,4.699328326,0,23.69910259
 01/01  09:00:00,1.8875,17.68141134,32.00411172,410.8300009,-1.502186176,51.01914019,4.699328326,0,24.31069609
 01/01  10:00:00,2.1875,17.98236694,34.3282021,575.4045202,-1.4523866,48.32342695,4.699328326,0,16.63850749
 01/01  11:00:00,2.4875,18.00097104,35.69610227,621.6688547,-1.427254444,46.9695559,4.699328326,0,17.63313918
 01/01  12:00:00,2.725,18.00113967,35.81819206,620.5124106,-1.421123099,46.64074642,4.699328326,0,16.7684008
 01/01  13:00:00,2.925,18.00110519,34.95873063,580.3104853,-1.420554966,46.61029584,4.699328326,0,18.13967387
 01/01  14:00:00,3.0625,18.00101895,34.42620074,575.54498,-1.420281734,46.5956552,4.699328326,0,16.86026318
 01/01  15:00:00,3.1625,18.00103288,34.17364018,583.4742502,-1.418312785,46.49019143,4.699328326,0,16.33987893
 01/01  16:00:00,3.2,18.00116638,34.69354265,628.8865055,-1.412890714,46.20006187,4.699328326,0,14.2068649
 01/01  17:00:00,3.2,18.00125452,34.44932103,620.4219483,-1.409932575,46.04189256,4.699328326,0,15.40408254
 01/01  18:00:00,3.2,18.00094623,33.17071605,547.4692091,-1.413865233,46.25217359,4.699328326,0,18.13309903
 01/01  19:00:00,3.1375,18.00052025,31.84623586,473.889916,-1.419853473,46.57272749,4.699328326,0,20.17788251
 01/01  20:00:00,3.1,18.00018014,31.01418091,428.7353959,-1.42404866,46.79756341,4.699328326,0,21.21740692
 01/01  21:00:00,3.0375,18.00001737,30.82286146,414.1949795,-1.42457634,46.8258578,4.699328326,0,21.35491673
 01/01  22:00:00,3,17.99995452,30.93124898,411.462283,-0.458458034,9.387109201,4.699328326,0,21.43534014
 01/01  23:00:00,2.9375,17.99994721,31.15361913,410.9487953,-0.455967858,9.339244714,4.699328326,0,21.55059956
 01/01  24:00:00,2.9,13.56147021,41.88247564,410.8638995,-0.761496065,18.20951061,0,0,0
 01/02  01:00:00,2.8375,12.16516039,46.00409747,410.8410271,-1.05436484,28.4654128,0,0,0
 01/02  02:00:00,2.7375,12.02546489,46.83156728,410.8339223,-1.079697471,29.59345625,0,0,0
 01/02  03:00:00,2.6375,11.91415908,47.78660368,410.8313953,-1.097980068,30.42198055,0,0,0
 01/02  04:00:00,2.5375,11.81718308,48.77428792,410.8304963,-1.112981826,31.11048016,0,0,0
 01/02  05:00:00,2.375,11.7126258,49.85417965,410.8301765,-1.127623682,31.78985194,0,0,0
 01/02  06:00:00,2.2375,11.61376438,50.95774244,410.8300628,-1.142264409,32.4760179,0,0,0
