Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/03  18:00:00,11.1,19.00057552,30.10536619,537.3974711,-0.360663389
 01/03  19:00:00,10.175,19.00039858,28.62780198,465.3040653,-0.369814529
 01/03  20:00:00,9.05,19.00009152,27.97167603,423.7576536,-1.335127731
 01/03  21:00:00,7.9125,19.00000018,28.09797415,412.5343837,-1.33071469
 01/03  22:00:00,7.0,19.0,28.55081989,411.0538737,-1.323844275
 01/03  23:00:00,6.2625,19.0,29.07953054,410.85931919999996,-1.316420502
 01/03  24:00:00,5.6875,14.45063469,39.6528589,410.8369729,-1.618822059
 01/04  01:00:00,5.25,12.84692189,44.91067951,410.8322857,-0.963467867
 01/04  02:00:00,4.9125,12.66384262,46.62718416,410.830818,-0.989553505
 01/04  03:00:00,4.55,12.50837532,48.43223436,410.83029260000006,-1.0078376
 01/04  04:00:00,4.15,12.34904198,50.25093926,410.8301046,-1.026204883
 01/04  05:00:00,3.6875,12.18158987,51.75018829,410.8300373,-1.045407883
 01/04  06:00:00,3.25,12.01680864,52.73666882,410.8300133,-1.066899013
 01/04  07:00:00,2.9125,11.87545329,53.10291975,410.83000469999996,-1.0881175790000002
 01/04  08:00:00,2.7375,13.46865004,47.27516863,410.8300012,-0.980311942
 01/04  09:00:00,3.075,14.16339061,44.66407241,410.8300001,-0.8738961740000001
 01/04  10:00:00,4.1125,16.70062037,40.22726971,571.915651,-0.667927475
 01/04  11:00:00,5.5375,18.64260669,37.00703885,620.5536172000001,-0.41311205700000003
 01/04  12:00:00,7.225,19.00091147,36.27595453,615.0200959,-0.329992959
 01/04  13:00:00,9.025,19.00075962,35.06422671,571.8423857999999,-0.317415529
 01/04  14:00:00,10.6375,19.00038112,34.29859052,571.2521091,-0.30610783199999997
 01/04  15:00:00,12.0125,19.00014903,33.94242061,580.2844681,-0.29788474800000003
 01/04  16:00:00,12.875,18.99990679,35.43049462,628.8539107999999,-0.29660794100000004
 01/04  17:00:00,12.7875,19.00000439,37.04708064,615.3195057,-0.286527966
 01/04  18:00:00,11.85,19.00014853,37.70469834,537.8183092999999,-0.27634795300000004
 01/04  19:00:00,10.275,19.00017096,37.63487159,465.45070350000003,-0.27920305300000003
 01/04  20:00:00,8.475,19.00014188,37.0571343,423.77889230000005,-1.244698571
 01/04  21:00:00,6.675,19.00024121,36.21468245,412.5339164,-1.245321449
 01/04  22:00:00,5.125,18.34177708,36.52178920000001,411.0635748,-1.269805654
 01/04  23:00:00,3.975,16.24929657,40.12684002,410.86226569999997,-1.485713193
 01/04  24:00:00,3.1625,13.25639054,47.39899806,410.8366119,-1.7641541580000002
 01/05  01:00:00,2.525,12.46036182,48.565629799999996,410.8321973,-0.967564361
 01/05  02:00:00,1.9875,12.22925918,47.9602917,410.83077910000003,-1.006821323
 01/05  03:00:00,1.4875,12.02884803,47.22712146,410.83027589999995,-1.03974429
 01/05  04:00:00,0.925,11.81965272,46.36604562,410.83009760000004,-1.073193429
 01/05  05:00:00,0.325,11.59843298,45.53324601,410.8300345,-1.108880299
 01/05  06:00:00,-0.2125,11.39092714,44.4894984,410.8300122,-1.143812236
 01/05  07:00:00,-0.65,11.20700771,43.11116928,410.8300043,-1.177202527
 01/05  08:00:00,-0.8625,12.01548767,38.69153328,410.830001,-1.1339596779999999
 01/05  09:00:00,0.35,12.53714413,37.72571439,410.8300001,-1.07636114
 01/05  10:00:00,2.85,15.47721353,35.71120001,570.3408524,-0.838170225
 01/05  11:00:00,5.4,18.56135111,33.32572479,621.2848433999999,-0.444549894
 01/05  12:00:00,7.675,19.00060147,34.24975409,615.0738967999999,-0.32839689699999997
 01/05  13:00:00,9.5625,19.00065556,33.54485161,571.9214822,-0.320524892
 01/05  14:00:00,11.075,19.00035024,32.62522789,571.3018122000001,-0.318399104
 01/05  15:00:00,12.1625,19.00016041,32.15641645,580.2764961,-0.311170131
 01/05  16:00:00,12.75,18.9998505,33.557966,628.7457866000001,-0.285812407
 01/05  17:00:00,12.5875,18.99997795,35.49607113,615.1550171,-0.282235291
 01/05  18:00:00,11.65,19.00010649,36.75284166,537.6804771000001,-0.277977448
 01/05  19:00:00,10.2,19.00004682,37.4586076,465.3779947,-0.274707883
 01/05  20:00:00,8.475,19.00002137,37.64277819,423.75485580000003,-1.236066347
 01/05  21:00:00,6.7375,19.00017638,37.16990736,412.5285005,-1.2348740120000001
 01/05  22:00:00,5.2875,18.76293433,36.69040338,411.056962,-1.236788888
 01/05  23:00:00,4.175,16.49054906,40.94179535,410.8621701,-1.4349259980000002
 01/05  24:00:00,3.3,13.38532356,48.51626361,410.8365835,-1.7372544890000001
 01/06  01:00:00,2.6875,12.57981234,49.25960521,410.83218789999995,-0.9457464090000001
 01/06  02:00:00,2.1875,12.36172174,48.24002163,410.83077589999994,-0.98395883
 01/06  03:00:00,1.6875,12.15712362,47.32281629,410.83027480000004,-1.018797126
 01/06  04:00:00,1.1875,11.95887471,46.60685081,410.8300972,-1.051655276
 01/06  05:00:00,0.625,11.75000936,46.04783341,410.83003439999993,-1.084372658
 01/06  06:00:00,0.15,11.5559279,45.57996123,410.83001210000003,-1.116893711
 01/06  07:00:00,-0.25,11.38566097,45.11595853,410.8300043,-1.145235347
 01/06  08:00:00,-0.4625,12.15827979,41.735918100000006,410.830001,-1.101199615
 01/06  09:00:00,-0.1875,12.34733561,40.8893828,410.8300001,-1.066350765
 01/06  10:00:00,0.8125,14.00440972,39.38864395,576.2052397000001,-0.930417853
 01/06  11:00:00,2.55,15.2726145,38.61211282,621.447178,-0.772828315
 01/06  12:00:00,4.675,17.7030189,35.2127023,615.2074044999999,-0.545859447
 01/06  13:00:00,6.9375,19.00041989,34.32016055,571.0943607,-0.332862906
 01/06  14:00:00,9.05,19.00029669,36.26062968,570.4785663,-0.309960448
 01/06  15:00:00,10.8,19.00019012,37.96202809,579.5284767999999,-0.282862661
 01/06  16:00:00,11.8375,18.99996033,40.10370279,628.0030869,-0.26064209899999996
 01/06  17:00:00,11.85,19.00004467,40.69479469,614.4440122000001,-0.248864433
 01/06  18:00:00,11.1375,19.00028863,39.72237458,537.2122984,-0.254805495
 01/06  19:00:00,9.9875,19.00035973,38.26896574,465.1787925,-0.268740613
 01/06  20:00:00,8.5625,19.00030864,36.66582391,423.6998594,-1.241485744
 01/06  21:00:00,7.1875,19.00021835,35.51186243,412.51919439999995,-1.245349354
 01/06  22:00:00,6.075,19.00024842,34.54647333,411.0507813,-1.246912932
 01/06  23:00:00,5.2,18.79229636,34.11413763,410.85936560000005,-1.248705416
 01/06  24:00:00,4.4625,14.19516015,45.05553228,410.83668769999997,-1.6080387980000002
 01/07  01:00:00,3.8875,12.93993003,47.7913427,410.83218439999996,-0.9045770240000001
 01/07  02:00:00,3.3875,12.71743005,47.80537021,410.8307772,-0.94070711
 01/07  03:00:00,2.825,12.50372872,47.77780393,410.8302762,-0.9722514529999999
 01/07  04:00:00,2.1625,12.27309642,47.54352882,410.830098,-1.005648959
 01/07  05:00:00,1.4,12.01808667,47.17400091,410.8300347,-1.042647453
 01/07  06:00:00,0.6625,11.76371847,46.8265107,410.8300123,-1.081067229
 01/07  07:00:00,0.0875,11.54715447,46.18769893,410.8300043,-1.116094589
 01/07  08:00:00,-0.225,12.29974005,42.35676298,410.830001,-1.076079785
 01/07  09:00:00,0.2,12.51697399,41.99276233,410.8300001,-1.040600095
 01/07  10:00:00,1.3125,14.27700699,40.60495208,574.8775098,-0.893960175
 01/07  11:00:00,2.675,15.527152599999999,39.43534904,621.0749873999999,-0.7246168940000001
 01/07  12:00:00,4.1375,17.24973557,36.23192559,614.8377128999999,-0.556641299
 01/07  13:00:00,5.7,18.9575016,32.51346191,572.2660537,-0.365147237
 01/07  14:00:00,7.3625,19.00060319,32.78401917,569.7796890999999,-0.31908435
 01/07  15:00:00,9.1875,19.00032693,33.82134678,578.8196752,-0.304511074
 01/07  16:00:00,10.7125,19.00007206,36.52109536,627.3015555,-0.285591212
 01/07  17:00:00,11.0125,19.00017456,37.87127676,613.8000031,-0.27557013399999997
 01/07  18:00:00,10.4,19.00034361,37.23122214,536.7474525,-0.271657999
 01/07  19:00:00,9.4125,19.00027102,36.34873818,464.9419921,-0.279610081
 01/07  20:00:00,8.25,19.00009571,35.785699900000004,423.6188721,-1.246685234
 01/07  21:00:00,7.05,19.00009779,35.44183424,412.5018588,-1.2459849090000001
 01/07  22:00:00,5.975,19.00015865,34.85794441,411.04768310000003,-1.246335062
 01/07  23:00:00,5.1625,18.78282253,34.90715462,410.858888,-1.24670886
 01/07  24:00:00,4.4625,14.15593823,46.59762654,410.8365381,-1.60974493
 01/08  01:00:00,3.8875,12.92821256,49.65177177,410.8321396,-0.90197656
 01/08  02:00:00,3.3875,12.69864576,49.92336894,410.8307613,-0.938513362
 01/08  03:00:00,2.825,12.48105307,49.94134969,410.8302706,-0.970813857
 01/08  04:00:00,2.225,12.26059118,49.60949495,410.83009599999997,-1.0041929459999999
 01/08  05:00:00,1.625,12.0430677,49.04811916,410.830034,-1.03811432
 01/08  06:00:00,1.025,11.82696697,48.56503264,410.830012,-1.071507557
 01/08  07:00:00,0.55,11.63380761,47.8661233,410.8300043,-1.104224233
 01/08  08:00:00,0.3375,12.46588847,43.84740722,410.830001,-1.057366322
 01/08  09:00:00,0.6125,12.67372411,42.78679041,410.8300001,-1.019338498
 01/08  10:00:00,1.6125,14.47516938,40.33123728,572.9053597999999,-0.87906166
 01/08  11:00:00,3.2875,16.16594417,38.14630058,620.978701,-0.673961268
 01/08  12:00:00,5.4375,18.56863315,34.65317871,614.5066929,-0.42869410700000005
 01/08  13:00:00,7.8,19.00046863,35.22368949,570.9076365,-0.310150366
 01/08  14:00:00,10.2625,19.00015942,37.25387655,570.4991752999999,-0.287729619
 01/08  15:00:00,12.575,19.00003064,40.2037218,579.6961039,-0.271141365
 01/08  16:00:00,14.2125,18.99986533,44.42822364,628.3589234,-0.23788844399999998
 01/08  17:00:00,14.3875,18.99983873,46.99815833,614.8947354,-0.224610897
 01/08  18:00:00,13.325,19.00009016,46.94636795,537.4987695,-0.22302040399999998
 01/08  19:00:00,11.6125,19.00025939,45.55665274,465.2739438,-0.228568043
 01/08  20:00:00,9.7125,19.00031582,43.68581307,423.7146185,-1.200308505
 01/08  21:00:00,7.9375,19.00036194,41.86904823,412.51959680000004,-1.2069846000000002
 01/08  22:00:00,6.6125,19.00033024,40.26303443,411.0504115,-1.2122100340000002
 01/08  23:00:00,5.7625,19.00027999,39.03825227,410.8586533,-1.215105412
 01/08  24:00:00,5.3125,14.74763043,50.62429533,410.8367788,-1.505885476
