Date/Time,环境: 现场室外空气干球温度 [C](Hourly),热区: 空间102: 区域平均气温 [C](Hourly),热区: 空间102: 区域空气相对湿度[%](Hourly),热区: 空间102: 区域空气二氧化碳浓度 [ppm](Hourly),区域热舒适吸管模型 pmv [](Hourly),区域热舒适吸血鬼模型 ppd [%](Hourly),电源风扇: 风扇电能 [KWH](Hourly),热区: 空间102 vrf 供应风扇: 风扇电能 [KWH](Hourly),Vrf 热泵: vrf 热泵冷却电能 [KWH](Hourly),Vrf 热泵: vrf 热泵加热电能[KWH](Hourly),热回收: 热交换器电能 [KWH](Hourly) 
 01/01  02:00:00,2.8125,10.74996974,54.03616128,410.8962643,-1.328361782,41.73618461,0,0,0,0,0
 01/01  03:00:00,2.5125,10.62862968,54.94832539,410.8536784,-1.342798527,42.48974712,0,0,0,0,0
 01/01  04:00:00,2.2125,10.50828396,54.8216451,410.8384542,-1.360937271,43.44206008,0,0,0,0,0
 01/01  05:00:00,1.975,10.40298711,54.34746732,410.8330165,-1.379179947,44.40561301,0,0,0,0,0
 01/01  06:00:00,1.7125,10.29839599,53.68882382,410.8310758,-1.396264416,45.31301853,0,0,0,0,0
 01/01  07:00:00,1.6,10.22299973,52.93030959,410.8303835,-1.412914763,46.2013859,0,0,0,0,0
 01/01  08:00:00,1.6625,11.65657782,47.61538382,410.8301348,-1.312037068,40.94080452,0.09590466,0,0,0,0
 01/01  09:00:00,1.8875,12.07734715,45.95610522,410.8300389,-1.223941688,36.42588228,0.09590466,0,0,0,0
 01/01  10:00:00,2.1875,13.91721593,43.20317392,627.7149815,-1.075445791,29.55131528,0.09590466,0,0,0,0
 01/01  11:00:00,2.4875,14.10623755,44.63238531,752.4863624,-0.974749409,25.07101955,0.09590466,0,0,0,0
 01/01  12:00:00,2.725,14.19993845,44.60788291,768.1308025,-0.970364668,24.88920243,0.09590466,0,0,0,0
 01/01  13:00:00,2.925,13.87178787,44.70756705,718.3413463,-0.989481602,25.6851315,0.09590466,0,0,0,0
 01/01  14:00:00,3.0625,14.02645998,43.55180881,701.1783937,-0.991606737,25.76920545,0.09590466,0,0,0,0
 01/01  15:00:00,3.1625,14.14252838,42.919201,710.3576002,-0.974711528,25.06731146,0.09590466,0,0,0,0
 01/01  16:00:00,3.2,14.62945206,42.16439113,773.6260118,-0.931918261,23.35334547,0.09590466,0,0,0,0
 01/01  17:00:00,3.2,14.42224577,42.62755315,775.20754,-0.926370711,23.12780253,0.09590466,0,0,0,0
