Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,11.57280702,48.95823512,411.5317577,-1.175601385
 01/01  02:00:00,2.8125,11.45505871,51.56731829,411.0803118,-1.1871998879999999
 01/01  03:00:00,2.5125,11.31214895,52.50881729,410.9192201,-1.206046892
 01/01  04:00:00,2.2125,11.17509691,52.44166800000001,410.8617775,-1.2276177879999999
 01/01  05:00:00,1.975,11.05560631,52.03418245,410.84131139999994,-1.248776611
 01/01  06:00:00,1.7125,10.93822954,51.44478071,410.8340245,-1.268487903
 01/01  07:00:00,1.6,10.85099049,50.75657795,410.8314312,-1.287557064
 01/01  08:00:00,1.6625,15.34597289,37.59520398,410.83054560000005,-1.922952646
 01/01  09:00:00,1.8875,15.99999493,35.67145664,410.830205,-1.7170572569999998
 01/01  10:00:00,2.1875,16.00003457,38.45656481,602.6284893,-1.699462192
 01/01  11:00:00,2.4875,16.00009805,40.27307381,719.4533274,-1.684284722
 01/01  12:00:00,2.725,16.00011919,40.75469326,750.8043703,-1.6779050640000002
 01/01  13:00:00,2.925,16.00012276,40.13137049,717.4595568,-1.6770784680000002
 01/01  14:00:00,3.0625,16.00011731,39.58479051,701.9680579,-1.6770793940000002
 01/01  15:00:00,3.1625,16.00011836,39.28567477,707.9963458,-1.675914961
 01/01  16:00:00,3.2,16.00012992,39.74098264,762.0813403,-1.671519599
 01/01  17:00:00,3.2,16.00013994,39.59818149,769.7370386,-1.6690059659999998
 01/01  18:00:00,3.2,16.00011278,38.34299526,685.7918641,-1.6728121919999999
 01/01  19:00:00,3.1375,16.00007019,36.83089981,574.0744141,-1.679283555
 01/01  20:00:00,3.1,16.00003198,35.70805777,486.9286057,-1.684651595
 01/01  21:00:00,3.0375,16.0000096,35.25039141,441.96207310000005,-1.686735415
 01/01  22:00:00,3.0,15.99999847,35.19903822,423.5646475,-0.721497127
 01/01  23:00:00,2.9375,15.99999472,35.35149471,416.038838,-0.720014942
 01/01  24:00:00,2.9,12.51993872,44.71462131,412.9724422,-0.966604272
 01/02  01:00:00,2.8375,11.49268911,48.08353897,411.5317358,-1.189884299
 01/02  02:00:00,2.7375,11.3766734,48.87953047,411.0802003,-1.210119971
 01/02  03:00:00,2.6375,11.28221963,49.8242654,410.91920960000004,-1.224920353
 01/02  04:00:00,2.5375,11.19935129,50.80869385,410.8618064,-1.237000982
 01/02  05:00:00,2.375,11.10716852,51.89288331,410.8413384,-1.249071713
 01/02  06:00:00,2.2375,11.01959802,53.00353248,410.8340408,-1.261366928
 01/02  07:00:00,2.075,10.93356621,53.83586658,410.8314397,-1.27254084
 01/02  08:00:00,2.0,15.34736527,40.49727783,410.8305495,-1.913875391
 01/02  09:00:00,2.25,15.99999558,38.54265886,410.8302068,-1.7096007480000002
 01/02  10:00:00,2.775,16.00004277,41.12964604,602.6367591,-1.69186553
 01/02  11:00:00,3.3125,16.00012874,42.31327263,719.7544788,-1.6770700019999998
 01/02  12:00:00,3.875,16.00016903,41.48664016,751.4671886,-1.673538091
 01/02  13:00:00,4.6,16.00018094,39.35548105,718.5587456000001,-1.673850359
 01/02  14:00:00,5.4625,16.00017868,37.40814606,703.5355212000001,-1.674923947
 01/02  15:00:00,6.4875,16.02078578,36.17142994,710.2574935,-1.675203072
 01/02  16:00:00,7.4625,16.69207955,35.1827302,765.9486954,-1.6186389419999998
 01/02  17:00:00,7.675,16.68829981,35.66370143,774.4845372999999,-1.586247114
 01/02  18:00:00,7.2875,16.08281265,35.99599994,688.7302004,-1.638969376
 01/02  19:00:00,6.6625,16.00016954,34.69261791,575.7102937999999,-1.675410751
 01/02  20:00:00,5.9625,16.00003794,33.57548901,488.25208080000004,-1.68139128
 01/02  21:00:00,5.3875,16.00000214,33.2700015,442.7336546,-1.682322415
 01/02  22:00:00,5.0125,15.99999169,33.46891337,423.96117730000003,-0.715136565
 01/02  23:00:00,4.8375,15.99998585,33.8052583,416.2308858,-0.71181272
 01/02  24:00:00,4.8,13.02254482,41.69660432,413.06137110000003,-0.9195341490000001
 01/03  01:00:00,4.8,12.14473481,44.75886108,411.56525600000003,-1.108387537
 01/03  02:00:00,4.675,12.05252761,45.51953219,411.0934411,-1.1217367870000001
 01/03  03:00:00,4.35,11.92816876,46.20812775,410.92434219999996,-1.136852767
 01/03  04:00:00,3.7625,11.73969943,46.95318878,410.8637465,-1.158676674
 01/03  05:00:00,2.9375,11.48654827,47.42489008,410.8420478,-1.189901101
 01/03  06:00:00,2.1,11.22325076,47.57563129,410.8342913,-1.225247747
 01/03  07:00:00,1.3625,10.98428466,47.46445824,410.8315254,-1.258973179
 01/03  08:00:00,0.975,15.3270038,35.3191352,410.8305852,-1.9143808919999998
 01/03  09:00:00,1.525,15.99979953,33.652407200000006,410.8302231,-1.709116845
 01/03  10:00:00,2.9,15.999998800000002,37.3684513,602.6456627,-1.6866126380000002
 01/03  11:00:00,4.5625,15.98718712,40.61119204,720.2810562999999,-1.6631514059999999
 01/03  12:00:00,6.2625,16.20602568,41.65361331,752.9231187,-1.636464542
 01/03  13:00:00,7.9,16.36812095,41.21659505,720.8144527000001,-1.601781794
 01/03  14:00:00,9.375,16.97366733,39.21799273,706.0445786,-1.5441538209999999
 01/03  15:00:00,10.7125,17.53081095,37.40335405,712.6660989,-1.474408423
 01/03  16:00:00,11.6375,18.13559504,36.49061232,767.4254576000001,-1.417008305
 01/03  17:00:00,11.7125,18.12980372,36.28101492,775.9290914,-1.3853412109999999
