Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,12.24659867,46.84087324,410.83837850000003,-1.039728107
 01/01  02:00:00,2.8125,12.10466282,49.40840031,410.8329814,-1.0565240359999999
 01/01  03:00:00,2.5125,11.94524525,50.35856943,410.83106019999997,-1.078845806
 01/01  04:00:00,2.2125,11.79456875,50.33445401,410.8303768,-1.10328019
 01/01  05:00:00,1.975,11.66298594,49.980098299999995,410.8301338,-1.1269727040000002
 01/01  06:00:00,1.7125,11.534409599999998,49.44804027,410.83004750000003,-1.149030165
 01/01  07:00:00,1.6,11.43659401,48.81928503,410.8300169,-1.170306222
 01/01  08:00:00,1.6625,16.89192974,34.11389938,410.83000439999995,-1.74748114
 01/01  09:00:00,1.8875,17.99924733,31.36556168,410.8300006,-1.462289867
 01/01  10:00:00,2.1875,18.00041637,34.29255124,572.7731123,-1.44108312
 01/01  11:00:00,2.4875,18.001085999999997,35.62777331,615.6367241,-1.424668254
 01/01  12:00:00,2.725,18.00121063,35.71953185,613.8253662999999,-1.419027038
 01/01  13:00:00,2.925,18.00116971,34.85534407,574.1336719999999,-1.4187019419999998
 01/01  14:00:00,3.0625,18.00107691,34.32692222,570.0774014,-1.418545572
 01/01  15:00:00,3.1625,18.00109182,34.07375252,577.9330946,-1.41668875
 01/01  16:00:00,3.2,18.00123438,34.58366576,622.5310493,-1.4113859640000002
 01/01  17:00:00,3.2,18.00132697,34.33132322,613.4657143,-1.408563645
 01/01  18:00:00,3.2,18.00099615,33.0711199,541.8289234,-1.41252101
 01/01  19:00:00,3.1375,18.00054338,31.78144342,470.55662019999994,-1.418427533
 01/01  20:00:00,3.1,18.00018414,30.98180151,427.2999891,-1.422531149
 01/01  21:00:00,3.0375,18.00001434,30.81126403,413.7607848,-1.423005534
 01/01  22:00:00,3.0,17.99994961,30.92937201,411.351439,-0.4568821
 01/01  23:00:00,2.9375,17.99994314,31.15576244,410.92276430000004,-0.454419102
 01/01  24:00:00,2.9,13.57256318,41.85303485,410.8557561,-0.759248615
 01/02  01:00:00,2.8375,12.18039728,45.95870471,410.83837769999997,-1.051329387
 01/02  02:00:00,2.7375,12.04061834,46.78508793,410.83297969999995,-1.076676447
 01/02  03:00:00,2.6375,11.92913792,47.73951833,410.8310599,-1.094995007
 01/02  04:00:00,2.5375,11.83195791,48.72679046,410.830377,-1.1100368390000002
 01/02  05:00:00,2.375,11.72718969,49.80626526,410.8301341,-1.1247232059999999
 01/02  06:00:00,2.2375,11.62811552,50.90943743,410.8300477,-1.139407318
 01/02  07:00:00,2.075,11.53113443,51.74446329,410.830017,-1.152847771
 01/02  08:00:00,2.0,16.84852782,36.88545315,410.83000439999995,-1.741205226
 01/02  09:00:00,2.25,17.99875224,33.91640159,410.8300006,-1.4539054980000001
 01/02  10:00:00,2.775,18.00050275,36.59473512,572.7280453,-1.432602102
 01/02  11:00:00,3.3125,18.00139834,37.19507691,615.6652604,-1.4171749009999999
 01/02  12:00:00,3.875,18.00167882,35.88959565,613.9716721,-1.415532922
 01/02  13:00:00,4.6,18.00167831,33.53582919,574.4334699,-1.417266567
 01/02  14:00:00,5.4625,18.0015527,31.71886312,570.5482942000001,-1.41861318
 01/02  15:00:00,6.4875,18.00141259,30.75870488,578.6852397999999,-1.417154086
 01/02  16:00:00,7.4625,18.00139686,31.39817169,623.7365512,-1.409232309
 01/02  17:00:00,7.675,18.00151963,31.59347811,614.972811,-1.402766207
 01/02  18:00:00,7.2875,18.00110748,30.66860399,543.0108597,-1.4069677619999998
 01/02  19:00:00,6.6625,18.0005798,29.64555952,471.18742869999994,-1.4173831890000002
 01/02  20:00:00,5.9625,18.00016998,28.99046767,427.5384523,-1.4210246009999998
 01/02  21:00:00,5.3875,17.99991258,29.07986598,413.8241066,-1.419639586
 01/02  22:00:00,5.0125,17.99989158,29.47693579,411.3657924,-0.45106880899999996
 01/02  23:00:00,4.8375,17.99986725,29.8743516,410.92579739999996,-0.446729686
 01/02  24:00:00,4.8,14.06673448,39.12836804,410.8566904,-0.7135109040000001
 01/03  01:00:00,4.8,12.82110735,42.85050522,410.8387435,-0.971753986
 01/03  02:00:00,4.675,12.705414999999999,43.62089755,410.8331253,-0.9902615440000001
 01/03  03:00:00,4.35,12.56487187,44.31729552,410.83111660000003,-1.008810245
 01/03  04:00:00,3.7625,12.36366213,45.06337437,410.8303985,-1.0333980809999999
 01/03  05:00:00,2.9375,12.10002498,45.54193857,410.83014199999997,-1.066952149
 01/03  06:00:00,2.1,11.82723425,45.71035068,410.83005049999997,-1.104401048
 01/03  07:00:00,1.3625,11.57896685,45.62755399,410.8300179,-1.140144454
 01/03  08:00:00,0.975,16.96531238,31.84133546,410.83000469999996,-1.728997304
 01/03  09:00:00,1.525,17.99966378,29.63466948,410.83000069999997,-1.453061058
 01/03  10:00:00,2.9,18.00011294,33.57311737,572.7088242000001,-1.4266716999999998
 01/03  11:00:00,4.5625,18.00083654,36.23043412,615.8735542000001,-1.4014745530000001
 01/03  12:00:00,6.2625,18.00124968,37.17087666,614.5187292999999,-1.3850681999999999
 01/03  13:00:00,7.9,18.00149744,36.45171597,575.2036457,-1.3789946130000001
 01/03  14:00:00,9.375,17.93969165,35.64630432,571.3325097000001,-1.3673448369999999
 01/03  15:00:00,10.7125,17.39038233,35.68600338,579.9064711,-1.411046534
 01/03  16:00:00,11.6375,17.67835185,34.87509049,625.222635,-1.416570649
 01/03  17:00:00,11.7125,17.63083361,34.27300864,616.4843261,-1.392937826
 01/03  18:00:00,11.1,17.80333921,32.31516003,546.3607764,-1.407337195
 01/03  19:00:00,10.175,18.000615300000003,30.51688199,470.94096680000007,-1.388162427
 01/03  20:00:00,9.05,18.00019085,29.86350906,427.6194984,-1.3913027130000002
 01/03  21:00:00,7.9125,17.99994314,29.90454857,413.8607066,-1.389676991
 01/03  22:00:00,7.0,17.99983373,30.29941061,411.37543910000005,-0.420912115
 01/03  23:00:00,6.2625,17.99984292,30.82914969,410.9279298,-0.41599849299999997
 01/03  24:00:00,5.6875,14.44059866,39.49322167,410.8573442,-0.654944779
 01/04  01:00:00,5.25,13.20496821,43.838691100000005,410.83897210000003,-0.8945663909999999
 01/04  02:00:00,4.9125,13.03263583,45.50348928,410.8332069,-0.917956828
 01/04  03:00:00,4.55,12.88000377,47.26325128,410.8311455,-0.935541794
 01/04  04:00:00,4.15,12.72091348,49.03872228,410.8304088,-0.9537839029999999
 01/04  05:00:00,3.6875,12.55226253,50.50487216,410.8301457,-0.973172578
