Datetime,Outsides_tem,Temperature,Related_humidity,CO2,PMV
 01/01  01:00:00,2.9625,10.74251266,51.73433728,410.8711924,-1.342091469
 01/01  02:00:00,2.8125,10.66250149,54.35216481,410.8447361,-1.3457978830000001
 01/01  03:00:00,2.5125,10.54327329,55.26200009,410.8352673,-1.3598069990000001
 01/01  04:00:00,2.2125,10.42467003,55.1285954,410.8318812,-1.3775908419999998
 01/01  05:00:00,1.975,10.32092388,54.64643809,410.83067139999997,-1.395517959
 01/01  06:00:00,1.7125,10.21777621,53.97927597,410.8302395,-1.412308238
 01/01  07:00:00,1.6,10.1437484,53.21196076,410.8300854,-1.4286818730000002
 01/01  08:00:00,1.6625,11.45721903,48.22902206,410.83002650000003,-1.33644421
 01/01  09:00:00,1.8875,11.84301527,46.65742972,410.8300057,-1.256086946
 01/01  10:00:00,2.1875,13.65004029,43.76861556,610.282051,-1.110068815
 01/01  11:00:00,2.4875,13.8372199,44.97895984,700.9771899,-1.011887835
 01/01  12:00:00,2.725,13.93136922,44.86575983,704.2207189,-1.007730283
 01/01  13:00:00,2.925,13.60021993,44.96495983,653.0322637,-1.0277426159999998
 01/01  14:00:00,3.0625,13.76770054,43.80734124,643.4350319,-1.0280050090000001
 01/01  15:00:00,3.1625,13.88243697,43.16179922,653.2152183,-1.0113708240000001
 01/01  16:00:00,3.2,14.35937489,42.3587999,710.9071259,-0.969373488
 01/01  17:00:00,3.2,14.15602637,42.76861097,705.663493,-0.964340269
 01/01  18:00:00,3.2,13.50259455,43.26686471,612.8218562000001,-1.025028454
 01/01  19:00:00,3.1375,12.90852976,43.56015249,510.21648089999997,-1.097098312
 01/01  20:00:00,3.1,12.55827029,43.75284401,442.0220943,-2.113300974
 01/01  21:00:00,3.0375,12.47865604,43.88228282,418.10209649999996,-2.130299214
 01/01  22:00:00,3.0,12.44646801,44.17698814,412.5254621,-2.135462417
 01/01  23:00:00,2.9375,12.41952489,44.58620571,411.225291,-2.137598554
 01/01  24:00:00,2.9,10.98301833,49.38989074,410.9519464,-2.2465299169999997
 01/02  01:00:00,2.8375,10.60868657,50.99705568,410.87131780000004,-1.3671343319999998
 01/02  02:00:00,2.7375,10.53100443,51.70752371,410.84477769999995,-1.3793109769999998
 01/02  03:00:00,2.6375,10.46164382,52.61915167,410.8352849,-1.3890434919999999
 01/02  04:00:00,2.5375,10.39885819,53.58811028,410.8318898,-1.397073306
